>name	construction_p20N17								
>description	"Assembly vector, bin B; goes with p20N16 and p20N18"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N16			done	4/23/16	
2	acquire	oligo		"ca4034,ca4035,ca998,G00101"			done	4/23/16	
3	pcr	"ca998,g00101"	p20N16	amils	??		done	4/23/16	
4	pcr	"ca4034,ca4035"	p20N11	binB	2102		done	4/23/16	
5	zymo	amils		ins			done	4/23/16	
6	zymo	binB		vec			done	4/23/16	
7	digest	ins	"SpeI,EcoRI,DpnI"	idig			done	4/23/16	
8	digest	vec	"SpeI,EcoRI,DpnI"	vdig			done	4/23/16	
9	zymo	idig		I			done	4/23/16	
10	zymo	vdig		V			done	4/23/16	
11	ligate	"V,I"		p20N17			done	4/23/16	
12	transform	p20N17	kan				done	4/23/16	pick green
13	map	p20N17	"SpeI,EcoRI"		2086;1465		done	4/25/16	"no pic taken, but consistent"
14	sequence	p20N17	"ca998,g00101"	N17_analysis			done	4/26/16	"perfect, clone A"
