>name	construction_p20N6								
>description	Addition of amilCP stuffer into p20N5								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		v_pcon			null		
2	acquire	gblock		g_amilGFP		store	null		
3	acquire	oligo		ca4013-ca4017		store	null		
4	pcr	"ca4013,ca4014"	v_pcon	v_pcr	1897		null		
5	zymo	v_pcr		v_zymo			null		
6	digest	v_zymo	"BglII,MfeI"	v_dig			null		
7	zymo	v_dig		vector		store	null		
8	digest	"BamHI,EcoRI"	g_amilGFP	i_dig			null		
9	ligate	i_dig	v_dig	p20N7			null		
10	sequence	"M13-rev,ca4015,ca4016,ca4017"	20N7_analysis				null		
