>name	construction_p20N13								
>description	"Assembly vector, bin C; goes with p20N11 and p20N12"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N11			done	4/23/16	
2	acquire	oligo		"ca4036,ca4037,ca998,G00101"			done	4/23/16	
3	pcr	"ca998,g00101"	p20N11	amils	1959		done	4/23/16	"11,16"
4	pcr	"ca4036,ca4037"	p20N11	binC	2102		done	4/23/16	"3,637"
5	zymo	amils		ins			done	4/23/16	
6	zymo	binC		Cvec			done	4/23/16	
7	digest	ins	"SpeI,EcoRI,DpnI"	idig			done	4/23/16	
8	digest	Cvec	"SpeI,EcoRI,DpnI"	Cdig			done	4/23/16	
9	zymo	idig		I			done	4/23/16	
10	zymo	Cdig		C			done	4/23/16	
11	ligate	"I,C"		p20N13			done	4/23/16	
12	transform	p20N13	kan				done	4/23/16	pick green
13	map	p20N13	"SpeI,BamHI"				null		
14	map	p20N13	"SpeI,EcoRI"				null		
15	sequence	p20N13	"ca998,g00101"	N13_analysis			null		
